name,H_mag,a,e,sin_i,n,g,s,LCE,My,family1
56438,14.96,2.2577829,0.0890441,0.1199231,106.104262,33.165033,-35.438629,3.84,2,0
56439,14.35,2.1842913,0.1084513,0.103417,111.50506,31.325463,-33.859247,10.06,2,0
56440,15.53,2.1667519,0.0890894,0.0663446,112.861899,31.537142,-32.961979,6.61,2,0
56441,15.66,2.23081,0.1323138,0.0891322,108.034566,33.179767,-36.047644,3.3,2,0
56443,15.0,2.2860212,0.0534969,0.0553686,104.143737,35.597676,-36.236663,3.02,2,0
56446,15.39,2.2325222,0.1240631,0.0636443,107.910225,33.715397,-36.012899,2.82,2,0
56454,15.02,2.1925385,0.1371922,0.1232035,110.87632,31.102125,-34.850239,14.1,2,0
56455,15.0,2.2154722,0.1406222,0.1029887,109.159118,32.338853,-35.754832,27.38,2,0
56457,14.88,2.2060589,0.1535431,0.0947468,109.858107,32.26588,-35.999425,21.84,2,0
56458,15.39,2.225669,0.0851926,0.1260294,108.409534,31.932645,-34.326963,2.87,2,0
56459,15.34,2.2795348,0.1244009,0.0524134,104.588382,35.502934,-37.789081,3.41,2,0
56460,15.05,2.2476605,0.1839096,0.0601059,106.824491,34.394542,-39.065056,36.58,2,0
56464,15.53,2.1921972,0.0992639,0.088802,110.902221,31.90449,-33.885641,4.02,2,0
56465,15.49,2.2125324,0.1235994,0.0970293,109.37652,31.934454,-35.204223,17.61,2,0
56466,15.7,2.1947407,0.2039397,0.0707761,110.706635,32.462422,-38.233714,455.18,2,0
56467,15.76,2.2137032,0.1130907,0.0716361,109.289636,32.988235,-34.994462,0.0,2,0
56469,15.58,2.294861,0.1412734,0.0466173,103.542007,36.160588,-39.055073,4.3,2,0
56470,15.54,2.1723985,0.1226127,0.1084883,112.418524,30.88357,-33.933752,42.25,2,0
56471,14.8,2.2938087,0.0742857,0.2224012,103.614451,29.641605,-36.929467,11.16,2,0
56472,15.61,2.2602115,0.1367985,0.1122992,105.932981,33.548139,-37.044463,12.08,2,0
56473,15.01,2.2646375,0.1326732,0.1233419,105.62257,33.312426,-36.973249,4.28,2,0
56474,15.88,2.2744606,0.1204863,0.0281753,104.938656,35.587204,-37.564276,3.99,2,0
56475,15.88,2.251938,0.1494633,0.0662444,106.51714,34.378791,-37.626816,17.36,2,0
56478,15.89,2.2060862,0.1198665,0.0944482,109.856282,32.217528,-34.856904,8.11,2,0
56481,14.34,2.2758385,0.1267079,0.0628888,104.843384,35.212898,-37.67258,13.58,2,0
56482,15.25,2.2131818,0.1231992,0.1709783,109.304033,30.045534,-35.401957,35.96,2,0
56483,15.85,2.2788543,0.0880005,0.123491,104.635703,33.70565,-36.102538,6.73,2,4
56484,14.37,2.2917868,0.0946036,0.1346134,103.751088,33.742259,-36.584494,6.57,2,0
56487,14.66,2.273251,0.1185841,0.1480447,105.022913,32.67269,-36.503192,1.72,2,0
56496,15.93,2.2389785,0.1332584,0.1094554,107.44382,32.927518,-36.204841,3.91,2,0
56497,15.16,2.2637497,0.1194955,0.097264,105.684691,34.040975,-36.722128,3.08,2,0
56498,15.63,2.2677587,0.1124511,0.1458246,105.404794,32.58369,-36.159277,0.0,2,0
56501,15.43,2.2556154,0.0745258,0.0793543,106.257153,34.151916,-35.395444,2.61,2,0
56517,15.81,2.2615692,0.1660695,0.0902527,105.836832,34.241616,-38.534638,24.57,2,0
56519,15.0,2.2799528,0.1168482,0.049627,104.559574,35.545232,-37.564624,13.08,2,0
56520,15.68,2.2403957,0.1284865,0.0769812,107.341754,33.73781,-36.351588,6.57,2,0
56528,16.0,2.1812675,0.1612311,0.0581541,111.743431,32.213111,-35.670214,37.52,2,0
56533,15.63,2.26674,0.1311876,0.069824,105.475406,34.780242,-37.441922,0.0,2,0
56538,14.78,2.2146873,0.1043157,0.1177575,109.216935,31.870736,-34.535689,11.01,2,0
56539,15.82,2.2605889,0.1427873,0.1097526,105.906404,33.63684,-37.316688,2.64,2,0
56548,15.36,2.2991769,0.0621963,0.1143121,103.253454,34.641883,-36.36372,12.69,2,0
56550,14.86,2.2316255,0.1315713,0.1049732,107.976115,32.793053,-35.966112,79.12,2,0
56553,15.67,2.2369236,0.0798712,0.1229115,107.59223,32.359104,-34.576452,1.07,2,0
56554,15.39,2.2673055,0.1075705,0.1178861,105.436262,33.541479,-36.281686,4.41,2,0
56559,15.39,2.1752328,0.2652508,0.4298324,112.20484,12.858633,-32.27983,87.42,2,0
56563,14.82,2.283566,0.1387122,0.1078351,104.311705,34.442665,-38.042648,11.75,2,0
56569,15.26,2.2404301,0.0989892,0.0714604,107.339412,33.811214,-35.499565,3.65,2,0
56571,14.76,2.2044541,0.1132705,0.0742403,109.978271,32.591942,-34.701701,4.59,2,0
56573,14.96,2.2770391,0.2061375,0.0937429,104.760258,34.779795,-41.207372,39.78,2,0
56577,15.44,2.2762126,0.0892315,0.1183418,104.817896,33.79798,-36.09182,15.74,2,4
56579,14.57,2.2787043,0.0843137,0.16234,104.646282,32.196777,-35.588762,2.78,2,0
56580,14.8,2.2950702,0.1050302,0.1149309,103.528313,34.547314,-37.217751,3.31,2,4
56588,15.91,2.2842773,0.1416725,0.0922887,104.262779,34.905738,-38.323823,6.01,2,2076
56590,15.44,2.2724548,0.0648233,0.004258,105.077871,35.550589,-36.045082,3.01,2,0
56594,14.76,2.2579932,0.1542506,0.064083,106.088665,34.707729,-38.056007,21.27,2,0
56596,15.57,2.2884275,0.1576856,0.1498258,103.979444,33.166049,-38.508153,10.62,2,0
56602,15.1,2.2164752,0.0947811,0.0548447,109.084617,33.285047,-34.674178,5.69,2,0
56606,14.18,2.22747,0.1577962,0.110921,108.277599,32.536393,-36.786274,6.81,2,0
56607,14.81,2.2121832,0.1369498,0.0634167,109.407607,33.146405,-35.740578,22.73,2,0
56611,14.97,2.2740621,0.1388643,0.1000319,104.966469,34.336234,-37.764769,37.41,2,2076
56614,15.15,2.1939663,0.0990185,0.0647435,110.76802,32.39892,-34.041326,6.77,2,0
56620,15.34,2.2893647,0.0773071,0.1023735,103.915718,34.693713,-36.4393,2.38,2,0
56621,15.8,2.2905844,0.128669,0.1364029,103.832665,33.686286,-37.599644,6.74,2,0
56625,14.94,2.2312329,0.1115286,0.1158228,108.003799,32.434875,-35.237457,30.93,2,0
56626,15.11,2.2723047,0.1624367,0.0827386,105.088136,34.755863,-38.847671,46.63,2,0
56643,14.95,2.2980551,0.1140819,0.1028893,103.326519,35.030249,-37.742,2.7,2,0
56646,14.83,2.2594619,0.0906775,0.1124577,105.98594,33.437649,-35.619655,3.88,2,4
56652,14.85,2.2596809,0.1242229,0.0900331,105.970286,34.099453,-36.795391,6.93,2,0
56657,15.94,2.2150315,0.1486146,0.0879094,109.190949,32.71729,-36.143692,30.21,2,0
56658,15.35,2.2125373,0.1384584,0.0672737,109.37817,33.050665,-35.77859,46.84,2,0
56660,14.91,2.2986066,0.1047026,0.067635,103.289587,35.882783,-37.774325,20.71,2,0
56679,15.04,2.2791504,0.1328228,0.1009397,104.614973,34.480896,-37.715629,5.57,2,0
56716,14.94,2.2488407,0.1514628,0.1225704,106.737673,32.870775,-37.135007,15.88,2,0
56719,15.27,2.2590623,0.115258,0.1316291,106.012275,32.834666,-36.112144,25.2,2,0
57031,14.45,2.2969216,0.0826335,0.0817913,103.403078,35.489453,-37.012014,3.13,2,0
57055,15.6,2.2554083,0.119634,0.0643149,106.271764,34.538856,-36.672499,14.39,2,0
57060,15.34,2.2656489,0.1337645,0.0798157,105.551628,34.545015,-37.425209,8.55,2,0
57067,15.76,2.2746226,0.1308805,0.1298973,104.927783,33.407847,-37.177136,31.02,2,0
57084,14.98,2.281394,0.2123239,0.4043947,104.463775,15.37578,-33.621167,0.72,2,25
57093,15.43,2.2733772,0.1416339,0.0964053,105.013759,34.427426,-37.868728,0.0,2,2076
57099,15.72,2.2326703,0.1269494,0.1082147,107.899624,32.719207,-35.830297,5.58,2,0
57104,13.74,2.2938118,0.1027353,0.1244209,103.613617,34.180698,-36.999756,0.77,2,4
57105,15.73,2.2879542,0.1635526,0.0170005,104.011283,36.232107,-39.856712,30.6,2,0
57113,15.63,2.252482,0.1298163,0.1172218,106.478975,33.11356,-36.510921,3.98,2,0
57126,15.21,2.2603624,0.1638713,0.1187654,105.922038,33.415559,-38.08788,28.63,2,0
57127,15.22,2.2370915,0.1005052,0.1266935,107.580048,32.278828,-35.041169,1.95,2,0
57147,15.66,2.2725839,0.1134884,0.1298643,105.069091,33.31474,-36.527478,2.04,2,0
57154,15.51,2.2969351,0.2161708,0.0466724,103.398383,36.457704,-43.101111,61.11,2,0
57171,15.07,2.2970161,0.1879486,0.0984916,103.396261,35.308991,-40.962798,23.57,2,0
57177,15.64,2.1890757,0.1261937,0.0750348,111.139113,32.101265,-34.580005,16.73,2,0
57205,15.59,2.2827346,0.1005729,0.1142329,104.368875,34.166864,-36.656188,4.64,2,4
57207,15.93,2.2359191,0.1039332,0.1230862,107.66255,32.376982,-35.124777,18.74,2,0
57211,15.04,2.2577373,0.138423,0.1176982,106.107466,33.356997,-36.98425,27.95,2,0
57215,15.37,2.2778864,0.105679,0.0836546,104.702155,34.830243,-36.916458,3.1,2,0
57217,15.05,2.2678237,0.1382317,0.0887451,105.399768,34.422457,-37.606027,14.89,2,2076
57222,15.26,2.2963381,0.1860116,0.1178319,103.441896,34.683786,-40.595531,17.15,2,0
57238,15.3,2.2125082,0.1289161,0.1117313,109.393369,32.041452,-35.176605,15.64,2,0
57239,15.29,2.2987762,0.0883303,0.1222937,103.277854,34.397301,-36.817031,3.77,2,4
57240,14.97,2.2953674,0.140227,0.0816773,103.507849,35.541856,-38.790671,3.06,2,0
57241,15.59,2.1755196,0.0954398,0.0640715,112.180159,31.857692,-33.34943,2.93,2,0
57246,15.57,2.288023,0.1491557,0.0987626,104.006693,34.875757,-38.719858,15.87,2,2076
57255,15.67,2.227549,0.1363286,0.1017229,108.271874,32.770046,-36.007059,25.0,2,0
57266,16.0,2.2183383,0.1492144,0.1014471,108.946614,32.50264,-36.182409,35.73,2,883
57283,15.95,2.2780101,0.1424491,0.0900763,104.69345,34.746769,-38.139955,1.62,2,2076
57308,15.37,2.2554699,0.1957293,0.4030656,106.275065,14.940411,-31.879928,212.28,2,0
57311,15.6,2.2547919,0.1002439,0.1288616,106.317735,32.819516,-35.524969,77.24,2,0
57365,15.24,2.2749505,0.1804678,0.116741,104.904688,33.973957,-39.456585,54.85,2,0
57366,15.78,2.283216,0.1118877,0.1150848,104.335799,34.165318,-36.997261,3.06,2,0
57377,15.43,2.2547637,0.1313875,0.1081925,106.319064,33.56734,-36.669663,53.54,2,0
57381,15.93,2.206276,0.0910038,0.1175118,109.842286,31.592202,-33.963467,4.14,2,0
